# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 143K of event 'cycles:u'
# Event count (approx.): 129682211826
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
     0.00%  orted    libmca_common_dstore.so.1.0.2   [.] _dstore_store_nolock
     0.00%  orted    libopen-pal.so.40.30.2          [.] opal_util_keyval_yylex
     0.00%  orted    libc.so.6                       [.] calloc
     0.00%  spindec  mca_pmix_pmix3x.so              [.] pmix_mca_base_var_init
     0.00%  orted    libc.so.6                       [.] psiginfo
     0.00%  orted    libopen-pal.so.40.30.2          [.] free@plt
     0.00%  spindec  libcrypto.so.1.1                [.] err_load_strings
     0.00%  spindec  libhdf5.so.200.2.0              [.] H5FL_fac_free
     0.00%  spindec  libcrypto.so.1.1                [.] EVP_add_cipher
     0.00%  orted    ld-linux-x86-64.so.2            [.] _dl_debug_state
     0.00%  orted    libc.so.6                       [.] __pthread_mutex_lock
     0.00%  orted    libc.so.6                       [.] __libc_malloc
     0.00%  orted    libopen-pal.so.40.30.2          [.] opal_hash_table_get_value_ptr
     0.00%  orted    libhwloc.so.15.5.2              [.] cpuid_or_from_dump
     0.00%  orted    libc.so.6                       [.] _IO_default_xsputn
     0.00%  orted    mca_pmix_pmix3x.so              [.] listen_thread
     0.00%  spindec  mca_pmix_pmix3x.so              [.] wait_cbfunc
     0.00%  orted    libhwloc.so.15.5.2              [.] hwloc_obj_type_is_memory
     0.00%  orted    ld-linux-x86-64.so.2            [.] _dl_deallocate_tls
     0.00%  spindec  libc.so.6                       [.] getmntent
